Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
41,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2022,Steel,Sit Down,Operating,4/1/2006,Austell,Georgia,United States,Bolliger & Mabillard,4480,200.0,70.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Helix', 'Hill', 'Horseshoe', 'Hill', 'Hill', 'Hill']",175.0,,,,,,,,,,,
42,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain Const.,2011,2022,Steel,Sit Down,Operating,4/22/2011,Arlington,Texas,United States,Rocky Mountain Construction,4200,153.0,65.0,0.0,"['Chain Lift Hill', 'Over-Banked Curve']",147.0,,,79.0,,,,,,,,
43,Pantheon,Busch Gardens Williamsburg,"Williamsburg, Virginia",Intamin,2022,2022,Steel,Sit Down,Operating,3/25/2022,Williamsburg,Virginia,United States,Intamin Amusement Rides,3328,178.0,73.0,2.0,"['LSM Launch (rolling)', 'Zero-G Winder', 'LSM Boost (multi-pass)', 'Vertical Rollback', 'Top Hat - Outside', 'Outward Banked Airtime Hill', 'Zero-G Stall']",,,,95.0,,,,,,,,
44,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2022,Steel,Inverted,Operating,5/24/2006,Brühl,North Rhine-Westphalia,Germany,Bolliger & Mabillard,2519,85.3,49.7,4.0,"['Chain Lift Hill', 'Loop', 'Zero-G Roll', 'Jr. Immelmann', 'Corkscrew', 'Corkscrew']",88.6,,4.0,,,,,,,,,
45,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain Const.,2015,2022,Steel,Sit Down,Operating,5/24/2015,Agawam,Massachusetts,United States,Rocky Mountain Construction,3320,109.0,55.0,3.0,"['Chain Lift Hill', 'Zero-G Stall', 'Zero-G Roll', 'Zero-G Roll']",,,,78.0,,,,,,,,
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2022,Steel,Sit Down,Operating,4/22/1978,Arlington,Texas,United States,Schwarzkopf,3600,116.0,60.0,2.0,"['Chain Lift Hill', 'Loop', 'Loop']",,2:00,,,,,,,,,,
48,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2022,Steel,Sit Down,SBNO,4/23/1988,Stockholm,Stockholm,Sweden,Zierer,2624,105.0,55.9,0.0,"['Chain Lift Hill', 'Tunnel', 'Block Brake', 'Block Brake', 'Block Brake', 'Tunnel']",,1:30,4.5,80.0,,,,,,,,
50,Whizzer,Six Flags Great America,"Gurnee, Illinois",Schwarzkopf,1976,2022,Steel,Sit Down,Operating,1976,Gurnee,Illinois,United States,Schwarzkopf,3100,70.0,42.0,0.0,['Electric Spiral Lift'],64.0,2:00,,,,,,,,,,
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2023,Steel,Sit Down,Operating,3/28/2015,Charlotte,North Carolina,United States,Bolliger & Mabillard,6602,325.0,95.0,0.0,['Chain Lift Hill'],320.0,,,81.0,,,,,,,,
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2023,Steel,Sit Down,Operating,5/13/2000,Sandusky,Ohio,United States,Intamin Amusement Rides,6595,310.0,93.0,0.0,"['Cable Lift Hill', 'Over-Banked Curve', 'Tunnel', 'Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Hill', 'Tunnel', 'Over-Banked Curve']",300.0,2:20,,80.0,,,,,,,,
4,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain Const.,2018,2023,Steel,Sit Down,Operating,5/5/2018,Sandusky,Ohio,United States,Rocky Mountain Construction,5740,205.0,74.0,4.0,"['Chain Lift Hill', 'Outward Banked Airtime Hill', 'Zero-G Roll (variant)', 'Zero-G Stall', 'Block Brake', 'Zero-G Roll', 'Zero-G Roll', 'Over-Banked Curve']",200.0,2:30,,90.0,,,,,,,,
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2023,Steel,Sit Down,Operating,6/18/2001,Hassloch,Rhineland-Palatinate,Germany,Intamin Amusement Rides,4002,173.9,74.6,0.0,"['Cable Lift Hill', 'Over-Banked Curve']",,1:15,4.5,82.0,,,,,,,,
8,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2023,Steel,Sit Down,Operating,6/30/2016,Brühl,North Rhine-Westphalia,Germany,Intamin Amusement Rides,4330,98.4,72.7,0.0,"['LSM Launch', 'LSM Boost']",,,,,,,,,,,,
9,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2023,Steel,Sit Down,Operating,4/2/2010,Doswell,Virginia,United States,Intamin Amusement Rides,5100,305.0,90.0,0.0,['Cable Lift Hill'],300.0,3:00,,85.0,,,,,,,,
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2023,Steel,Sit Down,Operating,5/26/2007,Sandusky,Ohio,United States,Intamin Amusement Rides,4450,105.0,70.0,2.0,"['LSM Lift Hill', 'Twisted Horseshoe Roll', 'Tunnel', 'LSM Launch (rolling)', 'Over-Banked Curve', 'Over-Banked Curve']",100.0,2:30,,95.0,,,,,,,,
14,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain Const.,2016,2023,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,3800,,73.0,0.0,['Chain Lift Hill'],165.0,,3.5,73.0,,,,,,,,
15,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2023,Steel,Sit Down,Operating,3/27/2010,Charlotte,North Carolina,United States,Bolliger & Mabillard,5316,232.0,75.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",211.0,3:33,,74.0,,,,,,,,
15,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain Const.,2013,2023,Steel,Sit Down,Operating,5/25/2013,San Antonio,Texas,United States,Rocky Mountain Construction,3266,179.0,70.0,1.0,"['Chain Lift Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Zero-G Roll', 'Over-Banked Curve', 'Over-Banked Curve', 'Tunnel']",171.0,,,81.0,,,,,,,,
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2023,Steel,Sit Down,Operating,6/10/2016,Orlando,Florida,United States,Bolliger & Mabillard,4760,200.0,73.0,0.0,"['Chain Lift Hill', 'Block Brake']",200.0,,,,,,,,,,,
18,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2023,Steel,Sit Down,Operating,4/26/2014,Gothenburg,Västra Götaland,Sweden,Mack Rides GmbH & Co KG,4530,134.5,62.1,7.0,"['Corkscrew', 'LSM Launch (rolling)', 'Corkscrew', 'Norwegian Loop', 'Zero-G Roll', 'LSM Boost', 'Top Hat - Inside', 'In-Line Twist']",,2:10,4.3,,,,,,,,,
