Rank,Name,Park,Location,Supplier,Year,Awarded
29,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, California",Prior & Church/Looff,1924,2023
30,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group/M&V,2007,2023
30,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Columbia",Phare,1958,2023
32,Goliath,Six Flags Great America,"Gurnee, Illinois",Rocky Mountain Const.,2014,2023
33,Texas Stingray,SeaWorld San Antonio,"San Antonio, Texas",Great Coasters Int.,2020,2023
34,White Lightning,Fun Spot America,"Orlando, Florida",Great Coasters Int.,2013,2023
35,Rampage,Alabama Adventure,"Bessemer, Alabama",Custom Coasters Int.,1998,2023
36,Cú Chulainn,Emerald Park,"Ashbourne, Ireland",The Gravity Group,2015,2023
37,Renegade,Valleyfair,"Shakopee, Minnesota",Great Coasters Int.,2007,2023
38,T Express,Everland,"Youjinsi, South Korea",Intamin,2008,2023
39,Boss,Six Flags St. Louis,"Eureka, Missouri",Custom Coasters Int.,2000,2023
40,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Missouri",PTC/Allen,1976,2023
41,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2023
42,Cornball Express,Indiana Beach,"Monticello, Indiana",Custom Coasters Int.,1999,2023
42,Grizzly,Kings Dominion,"Doswell, Virginia",KECO,1982,2023
44,Hades 360,Mount Olympus,"Wisconsin Dells, Wisconsin",The Gravity Group,2005,2023
45,InvadR,Busch Gardens Williamsburg,"Williamsburg, Virginia",Great Coasters Int.,2017,2023
45,Viper,Six Flags Great America,"Gurnee, Illinois",Starkey,1995,2023
47,Wicker Man,Alton Towers,"Staffordshire, England",Great Coasters Int.,2018,2023
48,Zippin Pippin,Bay Beach,"Green Bay, Wisconsin",M&V,2011,2023
49,Comet,Hersheypark,"Hershey, Pennsylvania",PTC/Shmeck,1946,2023
50,Switchback,ZDTs,"Seguin, Texas",The Gravity Group,2015,2023
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2021
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2021
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2021
4,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000,2021
5,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2021
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2021
7,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain,2016,2021
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2021
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2021
10,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2021
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999,2021
12,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2021
13,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2021
14,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2021
15,Phantom’s Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001,2021
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015,2021
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2021
18,Jurassic World VelociCoaster,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2021,2021
19,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2021
20,Magnum XL200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2021
21,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2021
22,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996,2021
23,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2021
23,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2021
25,Mind Bender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2021
26,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2021
26,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2002,2021
28,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2021
28,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2021
30,Blue Fire Megacoaster,EuropaPark,"Rust, Germany",Mack,2009,2021
31,Orion,Kings Island,"Mason, Ohio",B&M,2020,2021
32,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2021
33,Hagrid’s Magical Creatures Motorbike Adventure,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2019,2021
33,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2021
35,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2021
36,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2021
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2021
38,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2021
39,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain,2018,2021
40,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2021
41,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Florida",Intamin,2011,2021
42,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2021
42,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain,2015,2021
44,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2021
45,Steel Force,Dorney Park,"Allentown, Pennsylvania",Morgan,1997,2021
46,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2021
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2021
48,Cannibal,Lagoon,"Farmington, Utah",ART Engineering,2015,2021
48,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,2021
50,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2021
1,Phoenix,Knoebels,"Elysburg, Pa.",DinnPTC/Schmeck,,2019
2,Voyage,Holiday World,"Santa Claus, Ind.",The Gravity Group,,2019
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,,2019
4,BoulderDash,Lake Compounce,"Bristol, Conn.",Custom Coasters,,2019
5,Beast,Kings Island,"Mason, Ohio",KECO,,2019
6,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",Custom Coasters,,2019
7,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,,2019
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,,2019
9,Ravine Flyer 2,Waldameer,"Erie, Pa.",The Gravity Group,,2019
10,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,,2019
11,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,,2019
12,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,,2019
13,Balder,Liseberg,"Gothenburg, Sweden",Intamin,,2019
14,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,,2019
15,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,,2019
16,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,,2019
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,,2019
18,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,,2019
19,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,,2019
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,,2019
21,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,,2019
22,White Lightning,Fun Spot,"Orlando, Fla.",Great Coasters Int.,,2019
23,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,,2019
24,Renegade,Valleyfair,"Shakopee, Minn.",Great Coasters Int.,,2019
25,Troy,Toverland,"Sevenum, the Netherlands",Great Coasters Int.,,2019
26,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,,2019
27,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,,2019
28,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",Kennan/Baker,,2019
29,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,,2019
30,Colossos,Heide Park,"Soltau, Germany",Intamin,,2019
31,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group,,2019
32,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,,2019
33,Flying Turns,Knoebels,"Elysburg, Pa.",Fetterman,,2019
34,Rampage,Alabama Adventure,"Bessemer, Ala.",Custom Coasters,,2019
35,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",The Gravity Group,,2019
36,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,,2019
37,T Express,Everland,"Yonjinsi, South Korea",Intamin,,2019
38,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,,2019
39,American Thunder,Six Flags Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,,2019
40,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel /NAD,,2019
41,InvadR,Busch Gardens Williamsburg,"Williamsburg, Va.",Great Coasters Int.,,2019
42,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,,2019
43,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",The Gravity Group,,2019
44,Megafobia,Oakwood,"Pembrokeshire, Wales",Custom Coasters,,2019
45,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson S. R. Co.,,2019
45,Twister,Knoebels,"Elysburg, Pa.",Fetterman,,2019
47,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",Great Coasters Int.,,2019
48,Twister,Gröna Lund,"Stockholm, Sweden",The Gravity Group,,2019
49,Switchback,ZDTs,"Seguin, Texas",The Gravity Group,,2019
50,Grizzly,Kings Dominion,"Doswell, Va.",Taft,,2019
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",PTC/SchmeckDinn,1985,2018
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2018
3,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2018
4,BoulderDash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2018
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2018
6,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2018
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2018
8,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2018
9,Gold Striker,Califoria’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2018
10,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2018
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2018
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2018
13,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",Custom Coasters,1998,2018
14,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2018
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2018
16,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2018
17,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2018
18,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2018
19,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2018
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,1920,2018
21,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2018
21,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2018
23,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2018
24,White Lightning,Fun Spot,"Orlando, Fla.",Great Coasters Int.,2013,2018
25,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2018
26,Renegade,Valleyfair,"Shakopee, Minn.",Great Coasters Int.,2007,2018
27,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2018
28,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2018
29,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,2018
30,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2018
30,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2018
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2018
33,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2018
34,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2018
35,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,2018
36,Switchback,ZDTs,"Seguin, Texas",Gravity Group,2015,2018
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel/NAD,1938,2018
38,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2008,2018
38,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",Allen/PTC,1976,2018
40,Grizzly,Kings Dominion,"Doswell, Va.",SummersKECO,1982,2018
41,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2018
42,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1959,2018
43,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2018
44,Wild One,Six Flags America,"Upper Marlboro, Md.",PTC/Miller/Dinn,1986,2018
45,T Express,Everland,"Yonjinsi, South Korea",Intamin,2008,2018
46,Megafobia,Oakwood,"Pembrookshire, Wales",Custom Coasters,1996,2018
47,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",Gravity Group,2005,2018
48,Mine Blower,Fun Spot,"Kissimmee, Fla.",Gravity Group,2017,2018
49,Wooden Warrior,Quassy Amusement Park,"Meddlebury, Conn.",Gravity Group,2011,2018
50,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2018
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2009,2017
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",DinnPTC/Schmeck,1985,2017
3,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2017
4,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2017
5,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2017
6,Beast,Kings Island,"Mason, Ohio",KECO,1979,2017
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2017
8,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2017
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2017
10,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2017
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2017
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2017
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2017
14,Boardwalk Bullet,Kemah Boardwalk,Kemah Boardwalk,M&V/Gravity Group,2007,2017
15,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2017
16,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2017
17,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2017
18,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,2017
18,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2017
18,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2017
21,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2017
22,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2017
23,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2017
24,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2017
25,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2017
26,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2017
27,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2017
28,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2017
29,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2017
30,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2017
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2017
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2017
33,Switchback,ZDT’s,"Seguin, Texas",Gravity Group,2015,2017
34,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2017
35,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2017
36,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2017
37,Blue Streak,Conneaut Lake,"Conneaut Lake, Pa.",Vettel,1964,2017
38,Hades 360,Mt. Olympus Theme Park,"Wisconsin Dells, Wis.",Gravity Group,1995,2017
39,Playland Wooden Coaster,Playland,"Vancouver, B.C., Canada",Phare,1958,2017
40,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2017
41,El Toro,Freitzeitpark Plohn,"Legendfeld, Germany",Great Coasters Int.,2006,2017
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2017
43,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",PTC/Allen,1976,2017
44,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2017
45,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2017
46,Grizzly (KD),Kings Dominion,"Doswell, Va.",,1982,2017
47,Tremors,Silverwood,"Athol, Idaho",Custom Coasters,1999,2017
48,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2017
49,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2017
50,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,2017
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2016
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",DinnPTC/Schmeck,1985,2016
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2016
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2016
5,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2016
6,The Beast,Kings Island,"Mason, Ohio",KECO,1979,2016
7,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2016
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2016
9,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2016
10,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2016
11,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2016
12,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2016
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2016
14,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2016
15,The Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2016
16,The Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2016
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2016
18,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2016
19,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2016
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2016
21,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2016
22,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2016
23,Wodan,EuropaPark,"Rust, Germany",Great Coasters Int.,2012,2016
24,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2016
